Trait Name,Type,Category,Prerequisite(s),PFS Legal,Description,Source,Version
Dirty Fighter,Basic,,,,"You wouldn’t have lived to make it out of childhood without the aid of a sibling, friend, or companion on whom you could always count to distract your enemies long enough to do a little bit more damage than normal. When you hit a foe you are flanking, you deal an additional 1 point of damage (this damage is added to your base damage, and is multiplied on a critical hit). This additional damage is a trait bonus. ",P:CTWE,PFRPG
Divine Warrior ,Religion,,Follower of Iomedae,,"From an early age, you were trained by militaristic order of clerics. You are devoted both to the teachings of Iomadae and to spreading those teachings by force. Your divine spells gain a +1 trait bonus to melee weapon damage.",PCo:TEoG,3.5e
Dump Salvager ,Regional,,From Westcrown,,You grew up in or around Westcrown’s rubbish-strewn shores and spent your spare time digging through trash looking for things worth selling. You gain a +3 trait bonus on Perception checks to search for concealed items.,PCo:CEoD,PFRPG
Dunewalker,Faction,,,,Your people have long roamed the shifting and treacherous sands and you do not fear the harsh wrath of the unforgiving desert. You gain a +4 trait bonus on Fortitude checks to resist nonlethal damage from hot conditions and can always move through non-magical sand as if it were normal terrain.,PCo:GtPSOP,
Duskwalker Agent,Regional,,From Katapesh,Illegal,"You spent a portion of your childhood working for the Duskwalkers, the guild responsible for policing and watching over all trade that takes place in Katapesh’s notorious Nightstalls. You have quite a bit more spending cash than most others of your age as a result. You start with twice the normal amount of starting gold. In addition, your reputation remains strong in the Nightstalls, and any transactions you make there are always beneficial to you; items you sell net you an additional 10% profit, and items you purchase there are 10% cheaper than normal. This discount also applies to your starting gear.",PCo:LoFPG,3.5e
Earning Your Freedom ,Campaign,,,,"You’ve been a slave your whole life, and have passed from master to master more times than you can count. Some of those masters were cruel, others kindly. In all cases, you’ve yearned to be free. When your most recent master fell on hard times, he sold many of his slaves to the city government, and as luck would have it, a recent opportunity to earn your freedom has manifested. The Pactmasters of Katapesh are looking to revitalize an old trade route to Osirion, and a band of mercenaries and guards is gathering to go out and supplement forces already in place near the ruined village of Kelmarane, now said to be infested by gnolls. You’ve secured a place among those mercenaries, under the watchful eye of Garavel. If you help in retaking Kelmarane, you’ve been promised your freedom. In any event, your life as a slave has toughened you and made you more resistant to hardship. Choose one of the three categories of saving throw; you gain a +1 trait bonus on all saving throws of that type.",PCo:LoFPG,3.5e
Earthbound,Magic,,Dwarf race,,"Your druid spells use a handful of earth or sand as a divine focus in addition to the normal components. While you are touching the ground, you add a +2 trait bonus to saving throw DCs and on caster level checks to overcome spell resistance for all spells you cast against creatures with the air subtype.",PCo:DoG,PFRPG
Ease of Faith,Basic,,,,"Your mentor, the person who invested your faith in you from an early age, took steps to ensure that you understood that what powers your divine magic is no different than that which powers the magic of other religions. This philosophy makes it easier for you to interact with others who may not share your views. You gain a +1 bonus on Diplomacy checks, and Diplomacy is always a class skill for you. ",P:CTWE,PFRPG
Eastern Mysteries,Faction,,,,"Ever since you were a young child, you studied the ancient arcane arts of several Eastern societies and those studies have made your spellcasting ability sometimes difficult to resist. Once per day you may select one single spell that you are casting that allows for a saving throw. You may increase the DC of that spell by +2.",PCo:GtPSOP,
Egorian School Apprentice,Regional,,Egorian,,You studied under one of the masters of the Egorian School style of architecture. You gain a +3 trait bonus on Knowledge (engineering) checks and a +2 trait bonus on Perception checks to find secret doors or traps in buildings built in the Egorian School style.,PCo:CEoD,PFRPG
Ekujae Reflexes,Race,,Half-elf race (from Katapesh),,"One of your parents was a member of the Ekujae tribe of the Mwangi Expanse, and you’ve inherited a portion of your elven parent’s quick reflexes. You gain a +2 trait bonus on Initiative checks.",PCo:LoFPG,3.5e
Ekujae Reflexes,Race,,,,"One of your parents was a member of the Ekujae tribe of the Mwangi Expanse, and you've inherited a portion of your elven parent's quick reflexes. You gain a +2 trait bonus on Initiative checks.",PCo:LoFPG,
Eldritch Smith,Magic,,Dwarf race,,"You are learned in the secret lore of the forge, rituals handed down for generations that some say come from Torag himself. Whenever you use the Craft skill or a crafting feat to make a stone or metal item, you reduce the cost of making the item by 5%. This includes metal-handed weapons with nonmetal parts, such as axes and spears. ",PCo:DoG,PFRPG
Elemental Pupil,Regional,,From Qadira,,"You have studied at the feet of the masters of Katheer’s colleges of magic, and so increased your own mastery of the elements. Choose one of the following energy types: acid, cold, electricity, or fire. When casting a spell of 1st level or higher that deals damage of your chosen energy type, the spell deals 1 extra point of damage of this type.",PCo:QttE,3.5e
Etymologist,Race,,,Legal,"When you, like all other young gnomes, were taught the hodgepodge Gnome language, you became curious about the original meaning of each word and what language it was derived from. Anytime you come across a new language, you are immediately absorbed by both how it works and what words you can co-opt from it for the Gnome language. You gain a +1 trait bonus on Linguistics checks, know one additional bonus language, and treat Linguistics as a class skill.",PCo:GoG,
Excitable,Race,,,Yes,"You demand that everything must happen right now, no matter what, and are too impatient to wait for everyone else to catch up. You finish people’s sentences, blurt out the punch lines to slowly-told jokes, rarely make plans, and leap headlong into anything that looks like it might get interesting. While this has sometimes gotten you in trouble, it’s also trained you to start moving a split second before everyone else, and that’s saved your hide a few times as well. You gain a +2 trait bonus on all Initiative checks.",PCo:GoG,
Expert Duelist,Faction,,,,"In your youth, you spent countless hours perfecting the art of the duel, focusing  your feints on defeating a single foe. You gain a +1 trait bonus to your Armor Class so long as you are adjacent to a single foe. This trait bonus is not applied to your Armor Class for touch attacks or when denied your Dex bonus.",PCo:GtPSOP,
Explorer,Faction,,,,"Your family heritage is filled with proud and renowned explorers, and you are a natural wayfinder. You gain a +1 trait bonus on Survival checks, and Survival is always a class skill for you",PCo:GtPSOP,
Explorer,Race,,,Yes,"Though many gnomes settle down in communities large enough and interesting enough to provide them with all the stimulation they need to ward off the Bleaching, you’re never going to be one of them. You are always looking around the next bend in the road or over the next hill, past the borders of where you are to where you want to be. At the beginning of each character level, select one desired terrain type from the following list: cold, desert, forest, jungle, mountains (including hills), plains, planes (other than the Material Plane), swamp, underground (including caves and dungeons), urban, water. You gain a +2 bonus on all Survival checks made in your desired terrain type. At the beginning of each level, you must select a new desired terrain type to replace the old one (you cannot take the same desired terrain type two levels in a row).",PCo:GoG,
Extremely Fashionable,Equipment,,,,"You really know how to make a good impression when you’re dressed well. Whenever you are wearing clothing and/or jewelry worth at least 150 gp (and not otherwise covered in gore, sewage, or other things that mar your overall look), you gain a +1 trait bonus on Bluff, Diplomacy, and Intimidate checks. One of these skills (your choice) is a class skill for you.",Adventurer's Armory,PFRPG
Eyes and Ears of the City,Religion,,Follower of Abadar,Yes,"Your religious training was entwined with your work serving the city watch of a large city, the primary duty of which was standing sentinel on a city wall. You gain a +1 trait bonus on Perception checks.",PCo:LoFPG,3.5e
Failed Apprentice ,Race,,Half-elf race (from Taldor),,"As a child, your parents sent you to a distant wizard’s tower as an apprentice so that you might learn the arcane arts. Unfortunately, you had no arcane talent whatsoever, though you did learn a great deal about the workings of magic and how to resist them. You gain a +1 trait bonus to saves against arcane spells.",PCo:TEoG,3.5e
Fanatic,Race,,,,Your years spent in libraries reading every musty tome you could find about ancient lost civilizations has given you insight into the subjects of history and the arcane. You gain +1 to Knowledge (arcana) and Knowledge (history) checks. One of these skills (your choice) is always a class skill for you.,,
Fashionable,Faction,,,,"You spent your youth as a young blade in Oppara and learned the ins and outs of using fashion to improve your relations with others. So long as you are wearing  clothing  and  jewelry  worth  more  than  80  gp, you gain a +1 trait bonus on Bluff, Diplomacy, and Sense Motive checks. One of these skills (your choice) becomes a class skill for you",PCo:GtPSOP,
Fast-Talker,Basic,,,,"You grew up in an environment where the meek were ignored and you often had to resort to threats or violence to be heard. You gain a +1 trait bonus on Bluff checks, and Bluff is always a class skill for you.",P:CTWE,PFRPG
Fencer,Basic,,,,"You trained long hours as a youth with blades, either taking lessons in the genteel art of fencing from tutors paid for by your parents or by being taken under the wing of a disenfranchised fencer who may have turned to a life of crime. You gain a +1 trait bonus on attacks of opportunity made with daggers, swords, and similar bladed weapons. ",P:CTWE,PFRPG
